                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    150,                 2.3683,                 1.7229,                 2.1621,                0.55483,                0.41003,                0.43661,                0.20088,                 3.9797,                  3.814,                 3.4697,              0.0005249,              0.0005249,              0.0005249
                    151,                  2.435,                 1.7383,                 2.1669,                0.57951,                0.39823,                0.43529,                0.20738,                 3.9886,                 3.7263,                 3.4907,               0.000515,               0.000515,               0.000515
                    152,                 2.4032,                 1.6986,                 2.1827,                0.49267,                0.44402,                0.43289,                0.20357,                 3.8811,                 3.7232,                 3.4243,              0.0005051,              0.0005051,              0.0005051
                    153,                 2.3606,                  1.649,                 2.1453,                0.45955,                0.44248,                0.39612,                0.19219,                 4.0072,                 3.8034,                 3.4974,              0.0004952,              0.0004952,              0.0004952
                    154,                 2.3148,                 1.6261,                 2.1309,                 0.5515,                0.41298,                0.41556,                 0.1993,                  3.983,                 3.6944,                 3.5308,              0.0004853,              0.0004853,              0.0004853
                    155,                  2.329,                 1.6553,                 2.1345,                0.55805,                0.39233,                0.40895,                0.19878,                 3.9565,                 3.6917,                 3.4952,              0.0004754,              0.0004754,              0.0004754
                    156,                 2.3283,                 1.6758,                 2.1627,                0.47081,                0.41888,                0.42404,                0.20317,                 3.9233,                 3.9683,                 3.4829,              0.0004655,              0.0004655,              0.0004655
                    157,                 2.3768,                 1.6688,                 2.1379,                0.49967,                0.41593,                0.40718,                 0.1935,                 3.9856,                  3.821,                 3.5518,              0.0004556,              0.0004556,              0.0004556
                    158,                 2.3289,                 1.6691,                 2.1373,                0.48585,                0.44248,                 0.4249,                0.20586,                 3.9765,                 3.6233,                 3.5157,              0.0004457,              0.0004457,              0.0004457
                    159,                 2.3658,                 1.6691,                 2.1189,                0.50879,                0.41593,                0.42212,                0.19863,                 4.0585,                 3.7234,                 3.5811,              0.0004358,              0.0004358,              0.0004358
                    160,                 2.3538,                 1.6459,                 2.1227,                0.52372,                0.39823,                0.43419,                0.20821,                 3.9864,                 3.8688,                 3.5256,              0.0004259,              0.0004259,              0.0004259
                    161,                 2.2636,                 1.6215,                 2.1345,                0.65652,                0.34808,                0.43241,                0.21277,                 3.9457,                 3.7116,                 3.4834,               0.000416,               0.000416,               0.000416
                    162,                 2.3238,                 1.6154,                 2.1143,                0.48663,                0.41943,                0.42407,                0.21162,                 3.9944,                 3.8336,                 3.5022,              0.0004061,              0.0004061,              0.0004061
                    163,                 2.2332,                 1.5817,                 2.0957,                0.53661,                0.41003,                 0.4263,                0.20727,                 3.9736,                 3.9712,                 3.4886,              0.0003962,              0.0003962,              0.0003962
                    164,                 2.2891,                 1.5891,                 2.0993,                 0.5587,                0.39961,                0.43904,                0.21311,                 3.9859,                 3.7164,                 3.4908,              0.0003863,              0.0003863,              0.0003863
                    165,                 2.2672,                 1.5981,                 2.1107,                0.57593,                0.39261,                 0.4252,                0.20681,                 3.9884,                 3.7499,                  3.491,              0.0003764,              0.0003764,              0.0003764
                    166,                  2.216,                  1.607,                 2.0969,                0.55627,                0.42773,                 0.4307,                0.21084,                 3.9568,                 3.7848,                 3.4745,              0.0003665,              0.0003665,              0.0003665
                    167,                 2.2203,                 1.6097,                 2.0873,                0.55088,                0.45428,                0.43599,                 0.2103,                  3.976,                 3.7497,                 3.4984,              0.0003566,              0.0003566,              0.0003566
                    168,                 2.2429,                 1.6166,                 2.0997,                0.53661,                0.42183,                0.44638,                0.21325,                 4.0171,                 3.6953,                 3.5291,              0.0003467,              0.0003467,              0.0003467
                    169,                  2.204,                 1.5503,                 2.0709,                0.50526,                0.43658,                0.42796,                0.20518,                 4.0172,                 3.8502,                 3.4976,              0.0003368,              0.0003368,              0.0003368
                    170,                 2.2077,                 1.5183,                 2.0846,                0.47133,                0.43658,                0.41558,                0.19764,                 3.9699,                 3.9349,                  3.474,              0.0003269,              0.0003269,              0.0003269
                    171,                 2.2236,                 1.5656,                 2.0829,                0.54895,                0.38643,                0.42335,                0.20386,                 3.9771,                 4.0375,                 3.4659,               0.000317,               0.000317,               0.000317
                    172,                 2.1831,                 1.5319,                 2.0705,                0.49141,                0.41298,                 0.4377,                0.21152,                 3.9808,                 3.8792,                 3.5279,              0.0003071,              0.0003071,              0.0003071
                    173,                 2.1897,                 1.5432,                 2.0977,                0.45974,                0.50706,                0.45156,                0.20768,                 3.9729,                 3.7927,                 3.5196,              0.0002972,              0.0002972,              0.0002972
                    174,                 2.1647,                 1.5249,                 2.0607,                0.53356,                0.41593,                0.43974,                0.20671,                 4.0629,                 3.9186,                 3.5543,              0.0002873,              0.0002873,              0.0002873
                    175,                 2.2942,                 1.5819,                  2.086,                0.52676,                0.40708,                0.41946,                 0.1947,                 4.0824,                 4.0749,                 3.5482,              0.0002774,              0.0002774,              0.0002774
                    176,                 2.1564,                 1.5384,                 2.0894,                 0.5723,                0.40118,                0.43929,                0.20268,                 4.0718,                 3.8822,                 3.5591,              0.0002675,              0.0002675,              0.0002675
                    177,                 2.2459,                 1.5292,                 2.0768,                0.48864,                0.44248,                0.44097,                0.21086,                 4.0424,                 3.8247,                 3.5366,              0.0002576,              0.0002576,              0.0002576
                    178,                 2.1413,                 1.4896,                 2.0528,                0.47856,                0.42505,                0.43012,                0.21059,                 4.0027,                 3.8596,                 3.4783,              0.0002477,              0.0002477,              0.0002477
                    179,                 2.2216,                 1.4846,                 2.0348,                0.57929,                0.40413,                 0.4473,                0.21023,                 4.0129,                 3.7893,                 3.4706,              0.0002378,              0.0002378,              0.0002378
                    180,                 2.0878,                  1.453,                 2.0492,                0.54356,                0.41593,                0.43472,                0.19941,                 4.0404,                  3.962,                  3.535,              0.0002279,              0.0002279,              0.0002279
                    181,                 2.1489,                 1.5612,                 2.0898,                 0.5848,                0.34485,                0.40908,                0.19654,                 4.0607,                 4.2313,                 3.5253,               0.000218,               0.000218,               0.000218
                    182,                 2.1927,                 1.5141,                 2.0656,                0.52618,                0.37018,                0.40808,                0.19938,                 4.0156,                 4.1456,                 3.4978,              0.0002081,              0.0002081,              0.0002081
                    183,                 2.0908,                 1.4473,                 2.0167,                0.51186,                0.41593,                0.42464,                0.20434,                 3.9713,                 3.8999,                 3.4721,              0.0001982,              0.0001982,              0.0001982
                    184,                  2.146,                 1.5006,                   2.05,                0.54317,                0.40118,                0.42575,                0.20109,                 4.0009,                 3.9058,                 3.5108,              0.0001883,              0.0001883,              0.0001883
                    185,                 2.1496,                 1.4745,                 2.0386,                 0.5207,                0.38348,                0.40989,                0.19522,                 4.0039,                 4.0483,                 3.5096,              0.0001784,              0.0001784,              0.0001784
                    186,                 2.0726,                 1.4637,                 2.0302,                0.54677,                0.40413,                0.42353,                0.20223,                 3.9731,                 3.9887,                 3.5079,              0.0001685,              0.0001685,              0.0001685
                    187,                 2.0868,                 1.4222,                 2.0273,                0.56092,                0.38938,                0.43416,                0.20552,                 3.9885,                 4.0274,                 3.5281,              0.0001586,              0.0001586,              0.0001586
                    188,                 2.1194,                 1.4412,                 2.0291,                0.60617,                0.38053,                0.41835,                0.20342,                 3.9929,                 4.0497,                 3.5277,              0.0001487,              0.0001487,              0.0001487
                    189,                 2.0505,                 1.4396,                 2.0365,                0.56803,                0.38643,                 0.4151,                0.20368,                 3.9939,                 4.2017,                 3.5248,              0.0001388,              0.0001388,              0.0001388
                    190,                 2.0291,                 1.3612,                 1.9985,                0.56577,                0.38348,                0.40821,                  0.201,                 3.9882,                 4.1822,                 3.5224,              0.0001289,              0.0001289,              0.0001289
                    191,                 2.0358,                  1.443,                 2.0441,                0.53451,                0.38053,                0.40725,                0.19796,                  4.014,                 4.1991,                 3.5674,               0.000119,               0.000119,               0.000119
                    192,                 1.9224,                 1.2774,                 1.9864,                0.55417,                0.36578,                0.40527,                0.19841,                 4.0907,                 4.4854,                 3.6037,              0.0001091,              0.0001091,              0.0001091
                    193,                 2.0395,                  1.361,                 2.0609,                0.54084,                0.35693,                0.39411,                0.19388,                 4.1202,                 4.4942,                 3.6224,               9.92e-05,               9.92e-05,               9.92e-05
                    194,                 1.9317,                 1.2861,                 1.9935,                 0.6398,                0.34581,                0.40706,                0.19814,                 4.0907,                 4.3381,                 3.6217,               8.93e-05,               8.93e-05,               8.93e-05
                    195,                 1.9602,                 1.3141,                 2.0125,                0.53443,                0.37463,                0.41545,                 0.2026,                 4.0361,                 4.1791,                 3.5815,               7.94e-05,               7.94e-05,               7.94e-05
                    196,                  1.966,                 1.2786,                 2.0026,                0.58577,                0.36292,                0.41961,                0.20299,                  4.013,                 4.0575,                 3.5646,               6.95e-05,               6.95e-05,               6.95e-05
                    197,                 1.9095,                  1.249,                  1.985,                0.57875,                0.37168,                0.41548,                0.20135,                 4.0425,                 4.0103,                 3.5859,               5.96e-05,               5.96e-05,               5.96e-05
                    198,                 1.9773,                 1.2633,                 2.0195,                0.57741,                0.38053,                0.41569,                 0.2029,                 4.0429,                 4.0119,                 3.5878,               4.97e-05,               4.97e-05,               4.97e-05
                    199,                 1.8998,                  1.224,                  1.999,                 0.5903,                0.37168,                0.41735,                0.20306,                 4.0514,                 4.0106,                 3.5929,               3.98e-05,               3.98e-05,               3.98e-05
                    200,                 1.9354,                 1.2469,                 1.9798,                0.58027,                0.38742,                0.42033,                0.20317,                 4.0321,                 4.0471,                 3.5743,               2.99e-05,               2.99e-05,               2.99e-05
