                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 3.6808,                 3.5409,                 2.8626,                0.38988,                0.38643,                0.31672,                0.13715,                 3.9833,                 4.3744,                  3.317,              0.0016634,              0.0016634,              0.0016634
                     36,                 3.6604,                 3.6363,                 2.8885,                0.45002,                0.40413,                0.35144,                0.16372,                 3.8398,                 3.9497,                  3.226,              0.0016535,              0.0016535,              0.0016535
                     37,                 3.6083,                 3.4901,                 2.8822,                0.46245,                0.37812,                0.36261,                0.15866,                  3.878,                  3.866,                  3.264,              0.0016436,              0.0016436,              0.0016436
                     38,                 3.6547,                 3.4697,                 2.8198,                0.38144,                0.43839,                0.33332,                0.14884,                 3.8199,                 5.0921,                 3.2367,              0.0016337,              0.0016337,              0.0016337
                     39,                 3.5688,                  3.367,                 2.8233,                0.33997,                0.38938,                0.29967,                0.13213,                 3.9894,                 4.5319,                 3.2721,              0.0016238,              0.0016238,              0.0016238
                     40,                 3.5435,                 3.4031,                 2.8425,                0.45981,                 0.3917,                0.37343,                0.16642,                 3.8908,                  3.698,                 3.1971,              0.0016139,              0.0016139,              0.0016139
                     41,                 3.5394,                 3.3285,                 2.8011,                0.40704,                0.35398,                0.31183,                0.14007,                 3.9896,                 4.0388,                 3.3089,               0.001604,               0.001604,               0.001604
                     42,                  3.564,                 3.3337,                 2.7702,                0.47302,                0.40776,                0.38856,                0.17252,                 3.8633,                 3.6274,                 3.2818,              0.0015941,              0.0015941,              0.0015941
                     43,                 3.6095,                 3.3807,                 2.8467,                0.43346,                0.43363,                0.37788,                0.16604,                 3.7962,                 3.7883,                 3.2166,              0.0015842,              0.0015842,              0.0015842
                     44,                 3.5287,                 3.4234,                 2.7984,                 0.4279,                0.42478,                0.33201,                0.15176,                 3.7929,                 3.8521,                 3.2113,              0.0015743,              0.0015743,              0.0015743
                     45,                 3.5035,                 3.5128,                 2.7879,                0.37682,                0.36283,                0.27852,                0.12428,                 3.9655,                 4.8767,                 3.2919,              0.0015644,              0.0015644,              0.0015644
                     46,                 3.5785,                 3.4382,                 2.7428,                 0.3682,                0.37992,                0.28436,                0.13196,                 3.8221,                 4.4793,                 3.2258,              0.0015545,              0.0015545,              0.0015545
                     47,                 3.4479,                 3.3295,                 2.7627,                0.43961,                0.41653,                0.35629,                0.16186,                 3.8299,                 3.7644,                 3.2421,              0.0015446,              0.0015446,              0.0015446
                     48,                 3.4039,                 3.2721,                 2.7471,                0.41204,                0.37004,                0.32253,                0.13943,                 3.8964,                 3.9732,                 3.3581,              0.0015347,              0.0015347,              0.0015347
                     49,                 3.4947,                 3.1908,                 2.7442,                0.42608,                0.39233,                0.35562,                0.15918,                 3.9671,                 3.7164,                 3.3687,              0.0015248,              0.0015248,              0.0015248
                     50,                 3.3951,                 3.1794,                 2.7023,                0.44831,                0.40413,                0.35387,                0.15976,                 3.8222,                 3.7557,                 3.2814,              0.0015149,              0.0015149,              0.0015149
                     51,                  3.378,                 3.2104,                 2.7446,                0.37896,                0.36873,                0.34592,                0.16427,                 3.9054,                 3.8292,                 3.3298,               0.001505,               0.001505,               0.001505
                     52,                 3.4151,                 3.1656,                 2.7397,                0.47564,                0.38643,                0.38463,                0.18239,                 3.8072,                 3.6565,                 3.2149,              0.0014951,              0.0014951,              0.0014951
                     53,                  3.387,                 3.1356,                 2.7413,                0.46236,                0.39828,                0.38798,                0.18101,                 3.8009,                 3.6147,                 3.3003,              0.0014852,              0.0014852,              0.0014852
                     54,                 3.4378,                 3.1742,                 2.7041,                0.36981,                0.37758,                0.32713,                0.15486,                 3.7371,                  4.256,                 3.2409,              0.0014753,              0.0014753,              0.0014753
                     55,                 3.3721,                 3.1523,                 2.7149,                0.44062,                0.40663,                 0.3811,                0.17346,                 3.7834,                 3.7664,                 3.2017,              0.0014654,              0.0014654,              0.0014654
                     56,                 3.3425,                 3.0996,                 2.6917,                0.46054,                0.41593,                0.37808,                0.17825,                 3.7492,                 3.6461,                 3.2127,              0.0014555,              0.0014555,              0.0014555
                     57,                 3.3635,                  3.017,                 2.6568,                0.47453,                0.41298,                 0.3934,                0.18669,                 3.7908,                 3.6246,                 3.2359,              0.0014456,              0.0014456,              0.0014456
                     58,                 3.2222,                 2.9126,                  2.629,                0.45359,                0.44543,                0.41045,                0.19782,                 3.7401,                 3.4219,                 3.1689,              0.0014357,              0.0014357,              0.0014357
                     59,                 3.2462,                 2.8833,                  2.623,                0.48543,                0.40413,                  0.406,                0.18958,                 3.8109,                 3.5593,                 3.2755,              0.0014258,              0.0014258,              0.0014258
                     60,                 3.2695,                 2.8874,                 2.5992,                0.43935,                0.39823,                0.36367,                0.18209,                 3.7553,                 4.0339,                 3.1489,              0.0014159,              0.0014159,              0.0014159
                     61,                 3.2218,                 2.9442,                 2.6638,                 0.4831,                0.40413,                0.40831,                0.20692,                 3.7925,                 3.5121,                 3.2488,               0.001406,               0.001406,               0.001406
                     62,                  3.295,                 3.0067,                 2.6466,                0.45504,                0.40641,                0.34542,                0.15728,                 3.8027,                 3.8827,                 3.2574,              0.0013961,              0.0013961,              0.0013961
                     63,                 3.2778,                 3.0096,                 2.6713,                0.42621,                0.39823,                0.34459,                 0.1689,                 3.8083,                 3.8173,                 3.3102,              0.0013862,              0.0013862,              0.0013862
                     64,                 3.2368,                 3.0185,                 2.6463,                0.42032,                0.40118,                0.34287,                0.16267,                 3.8807,                 3.6706,                 3.4067,              0.0013763,              0.0013763,              0.0013763
