                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.82273,                 1.6716,                0.64694,                 1.1813,                0.76592,                0.66667,                 0.8169,                0.63811,                0.62423,                0.54167,                0.47349,                0.14958,                0.82342,                  2.537,                 1.2629,                 1.6116,              0.0009803,              0.0009803,              0.0009803
                    105,                0.81965,                 1.7362,                0.61232,                 1.1645,                0.87517,                      1,                0.96103,                0.71571,                0.71522,                0.54167,                0.49138,                 0.1799,                 0.9231,                 2.0302,                0.62272,                 1.6801,              0.0009704,              0.0009704,              0.0009704
                    106,                0.75697,                 1.6042,                 0.5842,                 1.1214,                0.95419,                0.95833,                0.97657,                0.74168,                0.62569,                    0.5,                0.45564,                 0.2095,                0.85805,                 1.9215,                0.66905,                 1.5796,              0.0009605,              0.0009605,              0.0009605
                    107,                0.74679,                 1.5953,                0.58461,                 1.1189,                0.88698,                      1,                0.98711,                0.79572,                0.78159,                  0.625,                0.61158,                0.22591,                0.80281,                 2.0266,                0.58947,                 1.5765,              0.0009506,              0.0009506,              0.0009506
                    108,                0.78001,                 1.6273,                0.54285,                  1.138,                0.94977,                0.95833,                0.98389,                  0.774,                0.79296,                  0.625,                0.59643,                0.23718,                0.79819,                 1.8643,                0.60268,                  1.529,              0.0009407,              0.0009407,              0.0009407
                    109,                0.77483,                 1.5679,                 0.5661,                 1.1242,                0.92716,                  0.875,                0.96125,                0.74575,                0.66038,                0.54167,                0.46462,                0.17838,                 0.8227,                 1.8834,                0.69516,                 1.5932,              0.0009308,              0.0009308,              0.0009308
                    110,                0.75883,                 1.5475,                0.56514,                 1.1268,                0.95631,                0.91218,                0.97173,                0.80269,                 0.6943,                 0.6626,                0.60313,                 0.1952,                0.74823,                 2.0355,                0.58836,                 1.5612,              0.0009209,              0.0009209,              0.0009209
                    111,                0.78091,                 1.5981,                0.57113,                 1.1507,                0.95213,                0.91667,                0.98175,                0.81175,                0.77625,                0.66667,                0.63529,                 0.1973,                0.73452,                 2.0285,                0.56881,                 1.5238,               0.000911,               0.000911,               0.000911
                    112,                0.76163,                 1.5655,                0.57244,                 1.1251,                0.95644,                0.91502,                 0.9706,                0.72996,                0.72571,                  0.625,                0.57153,                0.20361,                0.81462,                 1.8321,                0.64547,                 1.5871,              0.0009011,              0.0009011,              0.0009011
                    113,                0.72568,                 1.4945,                0.54335,                 1.1147,                0.95131,                0.81456,                 0.9467,                0.76119,                0.77678,                0.58016,                0.51139,                0.19407,                0.76423,                 1.8607,                0.69477,                 1.6017,              0.0008912,              0.0008912,              0.0008912
                    114,                0.77298,                 1.5986,                0.57127,                 1.1412,                0.84955,                      1,                0.95861,                0.79218,                0.71157,                  0.625,                0.55521,                0.21655,                0.70281,                 2.0198,                0.57702,                 1.5187,              0.0008813,              0.0008813,              0.0008813
                    115,                0.71416,                 1.5045,                0.54528,                 1.1078,                0.91945,                0.95145,                0.97174,                0.79178,                0.70224,                  0.625,                0.58151,                0.19865,                0.72139,                 1.9907,                 0.5578,                 1.5301,              0.0008714,              0.0008714,              0.0008714
                    116,                0.78647,                 1.5173,                0.54773,                 1.1308,                0.83415,                0.91667,                0.93405,                0.77217,                0.54931,                0.58333,                0.43954,                 0.1762,                 0.7306,                 2.2253,                0.81223,                 1.5126,              0.0008615,              0.0008615,              0.0008615
                    117,                0.76984,                 1.6198,                0.57647,                 1.1281,                0.88028,                0.95833,                0.95615,                0.80027,                0.69532,                0.58333,                0.53968,                0.21917,                0.70866,                 1.9088,                0.59098,                 1.5154,              0.0008516,              0.0008516,              0.0008516
                    118,                 0.7233,                 1.4703,                0.53392,                 1.0973,                0.88826,                0.99386,                0.96506,                0.79984,                 0.6924,                  0.625,                0.58573,                0.23398,                 0.7378,                 2.1976,                0.59407,                 1.5926,              0.0008417,              0.0008417,              0.0008417
                    119,                0.77653,                 1.5307,                0.55725,                 1.1373,                 0.8843,                0.95549,                0.94038,                0.65262,                0.72037,                  0.625,                0.55334,                0.22542,                0.90598,                 1.9062,                0.68009,                 1.6835,              0.0008318,              0.0008318,              0.0008318
                    120,                   0.75,                 1.4472,                 0.5511,                 1.1295,                0.95816,                0.95426,                0.95826,                0.79456,                0.69787,                0.58333,                0.51918,                0.21781,                0.70567,                 1.9909,                0.56147,                 1.5362,              0.0008219,              0.0008219,              0.0008219
                    121,                0.73111,                  1.476,                0.54389,                 1.1139,                0.88402,                0.95294,                0.94833,                0.75988,                0.65102,                0.58333,                 0.5126,                0.20545,                0.75882,                 2.2768,                0.63094,                 1.5721,               0.000812,               0.000812,               0.000812
                    122,                0.75285,                 1.4508,                0.55225,                 1.1092,                0.93331,                      1,                 0.9834,                0.81112,                 0.8858,                  0.625,                0.64156,                 0.2568,                0.73907,                 2.2127,                0.54126,                 1.5819,              0.0008021,              0.0008021,              0.0008021
                    123,                 0.7318,                 1.5321,                0.55554,                 1.1104,                0.93656,                      1,                 0.9886,                0.80398,                0.80689,                  0.625,                0.61234,                0.21899,                0.69195,                  1.962,                0.59814,                 1.4701,              0.0007922,              0.0007922,              0.0007922
                    124,                0.73198,                 1.5193,                 0.5481,                 1.1105,                0.92269,                0.99481,                0.98859,                0.81842,                0.75166,                  0.625,                0.59862,                0.23322,                0.71304,                 2.0293,                0.56702,                 1.4786,              0.0007823,              0.0007823,              0.0007823
                    125,                0.74451,                 1.4499,                0.55681,                 1.1211,                0.94448,                0.83333,                0.96339,                0.79435,                0.73711,                  0.625,                0.58483,                 0.2485,                0.71812,                 2.0886,                0.58517,                 1.4625,              0.0007724,              0.0007724,              0.0007724
                    126,                0.70162,                 1.4112,                0.52646,                  1.091,                0.95973,                0.99323,                 0.9886,                0.79699,                0.69139,                0.58333,                0.50673,                0.14979,                0.75188,                 2.3806,                0.53478,                 1.5825,              0.0007625,              0.0007625,              0.0007625
                    127,                 0.7064,                 1.4506,                0.53364,                 1.1018,                0.95326,                      1,                 0.9786,                0.77626,                0.66332,                0.58333,                0.51345,                0.15702,                0.77826,                 2.1369,                0.52613,                 1.5839,              0.0007526,              0.0007526,              0.0007526
                    128,                0.69701,                 1.4175,                0.53451,                 1.0831,                0.88631,                0.95833,                0.96688,                0.75593,                0.65679,                    0.5,                0.41922,                 0.1813,                0.77979,                 1.9208,                0.60224,                 1.6313,              0.0007427,              0.0007427,              0.0007427
                    129,                 0.6925,                 1.4384,                0.49998,                  1.078,                0.94607,                0.83333,                0.95896,                0.72689,                0.73229,                0.58333,                0.56972,                0.22614,                0.86963,                 2.0239,                0.65965,                 1.7004,              0.0007328,              0.0007328,              0.0007328
                    130,                0.70605,                 1.4513,                0.51233,                 1.0893,                0.93686,                  0.875,                 0.9473,                 0.7343,                 0.7289,                0.54167,                0.51066,                0.20949,                0.83684,                 1.9906,                0.67282,                  1.625,              0.0007229,              0.0007229,              0.0007229
                    131,                0.73505,                 1.5245,                0.52658,                 1.0993,                0.95071,                  0.875,                0.94251,                 0.7554,                0.67535,                  0.625,                0.54368,                0.22193,                0.77306,                 1.8852,                0.81153,                  1.559,               0.000713,               0.000713,               0.000713
                    132,                0.70978,                 1.3787,                0.51003,                 1.0931,                0.91844,                      1,                0.98151,                0.75673,                0.61422,                0.46465,                0.48346,                0.22083,                0.89395,                 2.0165,                0.61659,                 1.7049,              0.0007031,              0.0007031,              0.0007031
                    133,                0.69269,                 1.3991,                0.49744,                 1.0881,                0.95491,                0.95833,                0.94958,                0.73294,                0.62278,                0.58333,                0.51403,                0.22337,                0.83937,                  2.282,                0.67256,                 1.6375,              0.0006932,              0.0006932,              0.0006932
                    134,                0.65513,                  1.415,                0.48379,                 1.0629,                0.91464,                0.95833,                0.96214,                0.78566,                0.71072,                  0.625,                0.61783,                0.27503,                0.75512,                 2.0711,                0.57092,                 1.5691,              0.0006833,              0.0006833,              0.0006833
                    135,                0.68749,                 1.3948,                0.48539,                 1.0851,                0.95611,                0.95833,                0.96512,                0.77768,                0.75445,                0.66667,                0.61036,                0.22548,                0.71317,                 2.0488,                0.56891,                 1.5721,              0.0006734,              0.0006734,              0.0006734
                    136,                0.67156,                 1.3991,                0.50644,                 1.0788,                0.92275,                0.99562,                 0.9745,                0.82195,                0.78493,                0.66667,                0.63595,                 0.2846,                0.70551,                 1.9748,                0.49871,                 1.5605,              0.0006635,              0.0006635,              0.0006635
                    137,                0.65647,                 1.3754,                0.48608,                 1.0546,                0.91489,                      1,                 0.9745,                0.79573,                0.74982,                0.66667,                0.66664,                0.27202,                0.72199,                 1.9325,                0.52055,                 1.5417,              0.0006536,              0.0006536,              0.0006536
                    138,                0.67538,                 1.4136,                0.49339,                 1.0918,                0.92144,                      1,                0.98269,                  0.761,                0.70815,                  0.625,                0.56739,                0.23707,                  0.841,                 2.0013,                0.57054,                   1.68,              0.0006437,              0.0006437,              0.0006437
                    139,                0.65851,                 1.3614,                0.46748,                 1.0466,                0.92257,                 0.9932,                0.97512,                0.77073,                0.73809,                  0.625,                0.58787,                0.24741,                0.83039,                 1.9787,                0.57922,                 1.6246,              0.0006338,              0.0006338,              0.0006338
                    140,                0.69551,                 1.4073,                 0.5078,                 1.0817,                0.94824,                      1,                 0.9886,                0.74049,                0.66073,                0.58333,                 0.5343,                0.22936,                0.94087,                 2.4239,                0.58721,                 1.6944,              0.0006239,              0.0006239,              0.0006239
                    141,                0.64915,                 1.3218,                0.47644,                 1.0556,                0.95994,                0.99847,                  0.987,                0.77244,                0.64863,                  0.625,                0.58567,                0.23178,                0.79372,                 2.3838,                0.58752,                 1.6006,               0.000614,               0.000614,               0.000614
                    142,                0.68655,                 1.2966,                0.49311,                 1.0829,                0.90482,                      1,                0.97077,                0.79185,                0.74929,                0.58333,                0.54277,                0.25324,                0.72709,                 1.9977,                0.62474,                 1.5245,              0.0006041,              0.0006041,              0.0006041
                    143,                0.70121,                 1.4113,                0.49376,                 1.0885,                0.95657,                0.95833,                0.97276,                0.80931,                0.75997,                  0.625,                0.60761,                0.26691,                 0.6778,                 1.8544,                0.57301,                 1.5058,              0.0005942,              0.0005942,              0.0005942
                    144,                0.67846,                 1.4045,                0.48622,                 1.0689,                0.87862,                0.90514,                 0.9651,                0.76666,                0.82866,                0.66667,                0.67644,                0.26536,                0.75484,                 1.8815,                0.60618,                 1.5595,              0.0005843,              0.0005843,              0.0005843
                    145,                0.66622,                 1.3053,                0.48256,                 1.0546,                0.89738,                0.95833,                0.96879,                0.76591,                 0.8688,                0.66667,                0.70732,                0.24084,                  0.811,                 1.8806,                0.66351,                 1.5987,              0.0005744,              0.0005744,              0.0005744
                    146,                0.68136,                 1.3462,                0.51319,                  1.072,                0.91386,                0.95833,                0.97516,                 0.7521,                0.78587,                0.66667,                0.70198,                0.26006,                0.80853,                 1.9664,                0.62221,                 1.5553,              0.0005645,              0.0005645,              0.0005645
                    147,                0.64939,                 1.3275,                0.48538,                 1.0568,                0.95532,                      1,                  0.975,                0.75321,                0.71048,                  0.625,                0.58375,                0.21555,                0.86132,                 2.1025,                0.61572,                  1.588,              0.0005546,              0.0005546,              0.0005546
                    148,                0.66119,                 1.3077,                0.48979,                 1.0555,                0.91506,                0.95833,                0.95328,                0.75591,                0.75092,                0.58333,                0.52935,                0.19669,                0.84636,                 2.1537,                0.56663,                  1.595,              0.0005447,              0.0005447,              0.0005447
                    149,                0.64843,                 1.2666,                0.46756,                 1.0516,                0.94645,                      1,                 0.9934,                 0.7215,                 0.7974,                0.58333,                 0.5894,                 0.2009,                0.87973,                 2.0945,                0.58388,                 1.6829,              0.0005348,              0.0005348,              0.0005348
                    150,                0.67865,                 1.3514,                0.48981,                 1.0618,                0.94938,                      1,                 0.9702,                0.74092,                0.72932,                0.58333,                0.56435,                0.20593,                0.84254,                   2.27,                 0.5911,                 1.6567,              0.0005249,              0.0005249,              0.0005249
                    151,                0.62534,                 1.2403,                0.45317,                 1.0514,                0.95468,                0.95833,                0.96234,                0.74593,                0.78011,                  0.625,                0.64224,                0.22672,                0.80815,                 2.4003,                0.56586,                 1.6299,               0.000515,               0.000515,               0.000515
                    152,                0.65953,                 1.3099,                0.47511,                 1.0582,                0.95058,                0.95833,                0.96639,                0.76419,                 0.6134,                0.54167,                0.49024,                0.20125,                0.82542,                 2.4512,                0.58882,                 1.6877,              0.0005051,              0.0005051,              0.0005051
                    153,                0.63524,                 1.2784,                0.44036,                  1.046,                0.95154,                      1,                  0.987,                 0.7302,                0.58963,                0.54167,                0.51003,                0.19338,                0.81475,                 2.3978,                0.58193,                 1.6776,              0.0004952,              0.0004952,              0.0004952
                    154,                0.65178,                 1.2727,                0.47683,                 1.0498,                0.88304,                0.94409,                0.96709,                0.73807,                0.65739,                0.58333,                 0.5601,                0.22084,                0.75952,                 2.1589,                0.59589,                 1.6066,              0.0004853,              0.0004853,              0.0004853
                    155,                0.63276,                 1.3404,                0.46462,                 1.0481,                0.88525,                      1,                0.96754,                0.74426,                0.64987,                0.54167,                0.53895,                0.23093,                0.74444,                 2.1927,                0.58925,                 1.5679,              0.0004754,              0.0004754,              0.0004754
                    156,                 0.6288,                 1.2986,                0.47147,                 1.0399,                0.95619,                0.90975,                0.96813,                0.73492,                0.67957,                  0.625,                 0.5893,                0.25453,                0.77639,                 2.2303,                0.68534,                 1.5686,              0.0004655,              0.0004655,              0.0004655
                    157,                0.60423,                 1.2155,                0.43607,                 1.0384,                0.95881,                      1,                 0.9902,                0.77909,                0.69267,                  0.625,                0.62177,                0.27417,                 0.7649,                 2.1406,                 0.5687,                 1.5605,              0.0004556,              0.0004556,              0.0004556
                    158,                0.60143,                 1.2763,                0.43623,                 1.0379,                0.88857,                0.99686,                0.97985,                0.78948,                0.71411,                0.58333,                0.57981,                0.26649,                0.77938,                 2.1669,                 0.6277,                 1.5811,              0.0004457,              0.0004457,              0.0004457
                    159,                0.62815,                 1.2506,                0.44598,                   1.04,                0.95978,                0.99448,                 0.9802,                0.76673,                0.73758,                  0.625,                0.65387,                0.28551,                 0.8228,                  2.091,                0.60664,                 1.6251,              0.0004358,              0.0004358,              0.0004358
                    160,                0.58749,                 1.1924,                0.42901,                 1.0346,                0.95353,                      1,                 0.9702,                 0.7695,                0.77515,                  0.625,                0.64687,                 0.2975,                0.78675,                 2.1105,                0.60903,                 1.5974,              0.0004259,              0.0004259,              0.0004259
                    161,                0.60959,                 1.2451,                0.43489,                  1.054,                0.88803,                0.99161,                0.95303,                0.75137,                0.74021,                  0.625,                0.62724,                0.22625,                0.79871,                 2.2646,                0.59973,                 1.6136,               0.000416,               0.000416,               0.000416
                    162,                0.62129,                 1.2365,                0.44308,                 1.0376,                0.91406,                0.91667,                0.95861,                0.73713,                0.66741,                0.54167,                0.51642,                0.20815,                0.88867,                 2.4476,                0.64937,                 1.7417,              0.0004061,              0.0004061,              0.0004061
                    163,                0.61966,                 1.2864,                0.44674,                 1.0456,                 0.8896,                0.91667,                0.92801,                0.74242,                 0.6608,                0.54167,                0.51273,                0.24243,                0.89545,                 2.4171,                0.65203,                 1.6856,              0.0003962,              0.0003962,              0.0003962
                    164,                0.59838,                 1.2585,                0.43812,                 1.0102,                0.86862,                0.82669,                0.89634,                0.71641,                0.64858,                0.54167,                0.51898,                0.25396,                0.92561,                 2.4306,                0.66419,                 1.7209,              0.0003863,              0.0003863,              0.0003863
                    165,                  0.622,                 1.2265,                0.44839,                 1.0501,                0.87482,                0.87363,                0.88838,                0.66752,                0.68843,                0.55281,                0.56342,                0.17947,                0.99349,                  2.466,                0.69801,                 1.7866,              0.0003764,              0.0003764,              0.0003764
                    166,                0.60094,                 1.2002,                0.44764,                 1.0351,                0.95313,                0.95833,                0.96609,                0.73588,                 0.6126,                0.54167,                 0.5054,                0.19395,                 0.8166,                 2.4934,                0.61107,                 1.6251,              0.0003665,              0.0003665,              0.0003665
                    167,                0.59486,                  1.153,                0.42141,                 1.0208,                0.95471,                0.95833,                0.97347,                0.76627,                0.62683,                0.54167,                0.47997,                0.21757,                 0.7822,                 2.3626,                0.56497,                 1.6207,              0.0003566,              0.0003566,              0.0003566
                    168,                0.60378,                 1.2203,                 0.4374,                 1.0404,                0.92222,                0.98846,                0.97624,                0.77727,                0.74985,                  0.625,                0.64429,                0.26809,                0.75322,                 2.3009,                0.56677,                 1.5573,              0.0003467,              0.0003467,              0.0003467
                    169,                0.59004,                  1.174,                0.41286,                 1.0318,                0.95821,                0.95833,                0.98151,                0.76608,                0.75435,                0.66667,                0.69391,                0.26226,                0.78457,                  2.373,                0.56705,                 1.5958,              0.0003368,              0.0003368,              0.0003368
                    170,                0.56841,                 1.1416,                0.41326,                 1.0245,                0.94672,                0.95833,                0.96972,                0.75264,                0.70755,                0.58333,                0.57262,                0.25102,                0.84049,                 2.4219,                0.59213,                 1.6357,              0.0003269,              0.0003269,              0.0003269
                    171,                0.60269,                  1.176,                0.41917,                 1.0291,                0.91651,                0.91489,                0.92767,                0.77164,                 0.6633,                0.54167,                0.52569,                0.25173,                0.78698,                 2.3561,                 0.6223,                  1.605,               0.000317,               0.000317,               0.000317
                    172,                0.58493,                 1.1547,                0.41009,                 1.0292,                0.89543,                      1,                0.96122,                0.74529,                 0.7744,                0.58333,                0.60132,                0.27125,                0.83022,                 2.3056,                0.62213,                 1.6188,              0.0003071,              0.0003071,              0.0003071
                    173,                0.58299,                 1.2452,                0.42876,                  1.025,                0.82651,                      1,                0.94564,                0.73854,                0.70631,                0.58333,                0.62392,                0.28172,                0.79076,                 2.3665,                0.64471,                 1.6041,              0.0002972,              0.0002972,              0.0002972
                    174,                0.58168,                  1.115,                0.41979,                 1.0179,                0.94919,                      1,                  0.987,                0.75257,                0.74711,                0.58333,                 0.6045,                0.25754,                0.79992,                 2.4055,                0.57901,                 1.6468,              0.0002873,              0.0002873,              0.0002873
                    175,                0.58101,                 1.1948,                0.42183,                 1.0183,                0.95977,                 0.9943,                 0.9902,                0.74176,                0.84751,                  0.625,                0.65205,                0.24057,                0.85058,                 2.4244,                 0.5977,                 1.7002,              0.0002774,              0.0002774,              0.0002774
                    176,                0.58056,                 1.1281,                0.41057,                 1.0177,                 0.9595,                0.98741,                 0.9918,                0.74274,                0.85253,                  0.625,                 0.6504,                0.25327,                0.87533,                 2.4914,                0.56262,                 1.7343,              0.0002675,              0.0002675,              0.0002675
                    177,                0.58037,                 1.2003,                0.42498,                 1.0043,                0.88801,                0.99145,                0.97477,                0.73129,                0.85257,                  0.625,                0.64535,                0.26756,                0.86198,                  2.557,                0.62645,                 1.7351,              0.0002576,              0.0002576,              0.0002576
                    178,                 0.5611,                 1.1478,                0.39839,                 1.0139,                0.91495,                0.95833,                0.96709,                0.74516,                0.78078,                  0.625,                0.63256,                 0.2611,                0.84211,                 2.5147,                0.65161,                 1.7197,              0.0002477,              0.0002477,              0.0002477
                    179,                0.57824,                 1.1905,                0.41595,                 1.0327,                0.95483,                0.95833,                0.98054,                0.77511,                0.80204,                  0.625,                 0.6523,                0.28434,                0.76383,                 2.4647,                0.62033,                 1.6385,              0.0002378,              0.0002378,              0.0002378
                    180,                0.56208,                 1.1599,                0.40936,                 1.0196,                0.95501,                0.95833,                0.98692,                0.77738,                0.76518,                  0.625,                0.63022,                0.28723,                0.79039,                 2.3077,                0.55634,                  1.694,              0.0002279,              0.0002279,              0.0002279
                    181,                0.52978,                 1.1069,                0.38837,                 0.9972,                0.95982,                0.99549,                 0.9886,                0.76007,                0.77813,                  0.625,                0.63797,                0.30282,                0.82778,                 2.2098,                0.56797,                 1.7184,               0.000218,               0.000218,               0.000218
                    182,                0.54188,                  1.104,                 0.3998,                  1.001,                0.95072,                0.95833,                0.98526,                 0.7656,                0.81369,                  0.625,                0.66184,                0.31212,                0.82426,                 2.2659,                0.62957,                 1.6882,              0.0002081,              0.0002081,              0.0002081
                    183,                0.57202,                  1.118,                0.39021,                 1.0027,                0.94969,                0.95833,                0.98526,                0.76949,                0.77323,                  0.625,                0.68302,                0.32011,                0.84814,                 2.3413,                0.66903,                  1.696,              0.0001982,              0.0001982,              0.0001982
                    184,                0.55401,                 1.0807,                0.39446,                 1.0212,                0.95926,                0.98139,                  0.987,                0.75677,                0.78425,                  0.625,                0.67801,                0.27634,                0.86595,                 2.3362,                0.64002,                 1.6965,              0.0001883,              0.0001883,              0.0001883
                    185,                0.51137,                 1.0409,                0.37555,                 0.9957,                0.92258,                0.99326,                0.98692,                0.75939,                0.81395,                  0.625,                0.68873,                0.27793,                0.84257,                 2.3421,                0.59553,                 1.6588,              0.0001784,              0.0001784,              0.0001784
                    186,                 0.5475,                  1.063,                0.38032,                 1.0165,                 0.9191,                      1,                0.98213,                 0.7657,                0.73636,                0.58333,                0.60173,                0.25893,                0.83501,                 2.4105,                0.57875,                 1.6672,              0.0001685,              0.0001685,              0.0001685
                    187,                0.54212,                 1.0559,                0.37688,                 1.0049,                0.92308,                0.99998,                0.98079,                0.75824,                0.73604,                0.58333,                0.59786,                 0.2524,                0.86121,                  2.421,                 0.6305,                  1.669,              0.0001586,              0.0001586,              0.0001586
                    188,                 0.5313,                 1.1103,                0.37832,                 1.0089,                0.91013,                0.95833,                0.97286,                0.74526,                0.78859,                  0.625,                0.66261,                0.26411,                0.85005,                 2.3509,                  0.693,                 1.6761,              0.0001487,              0.0001487,              0.0001487
                    189,                 0.5393,                 1.1203,                0.40143,                 1.0022,                0.91717,                0.95833,                0.96926,                0.72874,                0.83192,                  0.625,                0.66089,                0.24988,                0.84456,                  2.309,                0.70257,                 1.6754,              0.0001388,              0.0001388,              0.0001388
                    190,                0.54146,                 1.1029,                0.39475,                0.99981,                0.91969,                0.95441,                0.97804,                0.72513,                0.83855,                  0.625,                 0.6467,                 0.2504,                0.84106,                  2.308,                0.66898,                 1.6734,              0.0001289,              0.0001289,              0.0001289
                    191,                0.39892,                0.78108,                0.35636,                 1.0215,                0.92147,                      1,                 0.9746,                0.73421,                 0.7959,                  0.625,                0.63786,                 0.2417,                0.82226,                 2.4242,                0.63787,                 1.6623,               0.000119,               0.000119,               0.000119
                    192,                0.36292,                0.75385,                0.30806,                 1.0162,                0.92106,                      1,                0.98317,                0.75352,                0.79797,                  0.625,                0.62797,                0.23287,                0.80787,                 2.4811,                0.53708,                 1.7034,              0.0001091,              0.0001091,              0.0001091
                    193,                0.35011,                0.75896,                0.28679,                 1.0018,                0.92302,                0.99916,                0.98317,                0.75206,                0.76508,                0.58333,                0.57791,                0.21275,                0.79621,                 2.4957,                0.54092,                 1.7107,               9.92e-05,               9.92e-05,               9.92e-05
                    194,                 0.3486,                0.72257,                0.28846,                 1.0013,                0.95978,                0.99442,                 0.9886,                0.76759,                 0.8139,                  0.625,                0.64166,                0.23215,                0.80031,                 2.5315,                0.56384,                 1.7018,               8.93e-05,               8.93e-05,               8.93e-05
                    195,                 0.3322,                0.68149,                0.26557,                0.98318,                0.95451,                0.95833,                0.98692,                0.77193,                0.78714,                  0.625,                0.64959,                0.24543,                0.76777,                 2.5023,                0.55177,                 1.6764,               7.94e-05,               7.94e-05,               7.94e-05
                    196,                0.32674,                0.66305,                0.26756,                0.98098,                 0.9227,                0.99487,                0.98859,                0.78821,                0.78342,                  0.625,                0.64048,                0.24451,                0.73067,                 2.5336,                 0.5323,                 1.6205,               6.95e-05,               6.95e-05,               6.95e-05
                    197,                 0.3384,                0.66818,                0.26349,                0.99749,                0.92249,                0.99209,                0.98859,                0.79444,                0.75469,                  0.625,                0.63342,                0.24322,                0.72052,                 2.5786,                0.53448,                 1.6082,               5.96e-05,               5.96e-05,               5.96e-05
                    198,                0.31427,                0.65883,                0.25583,                0.97542,                0.95975,                0.99371,                 0.9918,                0.80425,                0.74715,                  0.625,                0.63868,                0.25129,                0.76408,                 2.6006,                  0.521,                 1.6403,               4.97e-05,               4.97e-05,               4.97e-05
                    199,                0.31494,                0.71615,                0.25491,                0.97892,                0.92274,                0.99544,                0.98885,                0.79354,                0.74433,                  0.625,                0.65068,                 0.2564,                0.78757,                 2.5952,                0.52139,                 1.6619,               3.98e-05,               3.98e-05,               3.98e-05
                    200,                0.29828,                0.65887,                0.25232,                0.95535,                0.92272,                0.99511,                0.98885,                0.79944,                0.74086,                  0.625,                0.66124,                 0.2596,                0.78883,                 2.5957,                0.52132,                 1.6674,               2.99e-05,               2.99e-05,               2.99e-05
